metric,n_users,series,mean,std,min,max,n
Umax_or_peak_load,4000,MILP,3.1872322864882667,0.870423180216747,1.856538807193458,4.468935716523578,5
Umax_or_peak_load,4500,Heuristic,1.696946997127514,0.6154754771236493,0.8564176669902552,2.4525038120485387,5
Umax_or_peak_load,4500,MILP,3.5462079066212637,1.3142289700167675,2.067120059832089,5.6519630428027074,5
Umax_or_peak_load,5000,Heuristic,1.6531812102466563,0.65863755509315,0.6265870535628622,2.667065879090014,5
Umax_or_peak_load,5000,MILP,3.942763545000645,1.2015017181644514,2.378983122107263,5.411877020960537,5
runtime_s,50,Heuristic,15.51140441999305,0.5329638213207688,14.834431700001005,16.07185839995509,5
runtime_s,50,MILP,85.40850121999392,7.259307871898117,75.18861190002644,94.31973589997506,5
runtime_s,75,Heuristic,16.050522980000824,0.5002870181473399,15.369807699986268,16.811159899982158,5
runtime_s,75,MILP,83.19316227998351,10.073728536973789,65.42029169999296,96.51187509996817,5
runtime_s,100,Heuristic,16.42382245999761,0.24341124369140207,16.101198700023815,16.713116500002798,5
runtime_s,100,MILP,78.66580302001675,5.744966554402328,69.25168010004563,84.45425409998279,5
runtime_s,125,Heuristic,15.530245239997749,0.0852540178333561,15.40238829998998,15.659306099987589,5
runtime_s,125,MILP,79.33619787999196,7.413695359729589,68.45967599999858,87.29673800000455,5
runtime_s,150,Heuristic,15.52413692000555,0.10368298649042823,15.419834300002549,15.654051500023343,5
runtime_s,150,MILP,83.22884327999782,9.665898700204723,69.9377501999843,93.28458700003102,5
runtime_s,175,Heuristic,15.872744199994486,0.18684279809004153,15.614277000015136,16.08943970000837,5
runtime_s,175,MILP,94.57011298001744,14.188109158059909,74.34267670003464,111.37486560002435,5
runtime_s,200,Heuristic,16.686274879996198,0.4760396428164214,16.079009300039615,17.52827279997291,5
runtime_s,200,MILP,104.88416742001428,10.387758769522534,90.07603440003004,115.90790680004284,5
runtime_s,300,Heuristic,17.148961579997557,0.31535984102786735,16.609601599979214,17.594069799990393,5
runtime_s,300,MILP,120.3107396599953,16.913675266217922,97.79094129998703,137.62574059999315,5
runtime_s,400,Heuristic,17.75240397999296,0.5740394940384624,16.62847320002038,18.132391699997243,5
runtime_s,400,MILP,144.47383522001329,16.179295436273712,123.18792080000276,161.15983560000313,5
runtime_s,500,Heuristic,19.66119938000338,1.4410766414025944,18.233521100017242,21.717590900021605,5
runtime_s,500,MILP,163.1369205199997,15.119812838190548,141.27652760001365,177.1458659999771,5
runtime_s,600,Heuristic,17.892046620009932,0.22564425144177377,17.47454770002514,18.106561599997804,5
runtime_s,600,MILP,178.39213839999866,20.96299887672001,151.5538758999901,202.7489550000173,5
runtime_s,700,Heuristic,18.549392619996798,0.5250576619239937,17.829282100021373,19.150840699963737,5
runtime_s,700,MILP,213.47434867999982,34.73274679765813,170.98115450004116,260.5734913999913,5
runtime_s,800,Heuristic,18.982139440008904,0.5184351298274111,18.32559580000816,19.562608000007458,5
runtime_s,800,MILP,680.9928736800096,685.5483908564485,199.13682850002078,1989.7844919000054,5
runtime_s,900,Heuristic,18.773772120010108,0.6947836667573197,17.42640560003929,19.414602499979082,5
runtime_s,900,MILP,331.591838440008,165.79041326765125,222.08255300001474,660.589978300035,5
runtime_s,1000,Heuristic,16.760641040001065,1.3724610405478987,15.544566500000656,19.319820300035644,5
runtime_s,1000,MILP,601.551257260004,700.1513697503849,223.5512285999721,2000.9729045000277,5
runtime_s,1500,Heuristic,17.352218960004393,0.6805253987343133,16.404607200005557,18.328192799992394,5
runtime_s,1500,MILP,1065.9130885799998,791.1972132755703,384.66190349997487,2058.9507346000173,5
runtime_s,2000,Heuristic,17.22826926000416,1.3352865371352478,15.373805700044613,18.804722300032154,5
