metric,n_users,series,mean,median,std,p10,p90,min,max,n
mean_beam_load,1000,Heuristic,0.34018508841929873,0.3357968189791381,0.08032403340504678,0.2500362289548987,0.4297279233242076,0.2182569611211172,0.4503065540397034,5
mean_beam_load,1000,MILP,0.10049807970324967,0.09913181500042617,0.007272410105767829,0.09404594928595916,0.1082549976504628,0.0912010486844443,0.11358651896602129,5
peak_beam_load,50,Heuristic,0.6166231312329742,0.5710773056311343,0.30567160320841075,0.3173278275475535,0.9780336330867356,0.3144423456455875,1.1382882564583854,5
peak_beam_load,50,MILP,0.5808394670273322,0.466981294875887,0.23168351723857045,0.38407738771739863,0.8601297940024786,0.3461950027313409,1.0004088253464956,5
peak_beam_load,75,Heuristic,0.5390381771223868,0.584839968616881,0.12280346490381414,0.38928985175668335,0.6505133373104148,0.32452639493264823,0.6537877164127374,5
peak_beam_load,75,MILP,0.7525202113055307,0.4999129996937709,0.3608070871812514,0.4730756570785457,1.202452452679451,0.46455593297118924,1.3877085021510283,5
peak_beam_load,100,Heuristic,0.5396613768438707,0.5290870254073868,0.06901976342107378,0.48083890975420246,0.6166038603131551,0.47924251475117674,0.6695316179616767,5
peak_beam_load,100,MILP,0.8710370282024709,0.8534092653844303,0.11292707383350792,0.7689043723308117,1.0000771493195717,0.7631164652020748,1.0782393917939939,5
peak_beam_load,125,Heuristic,0.7556466822733752,0.8121399552873572,0.11877390067786571,0.6109209410137273,0.8706317476596621,0.5720924887705698,0.9034840424373396,5
peak_beam_load,125,MILP,0.9830295015750792,1.0211157113189206,0.15206914378458694,0.8032759011140015,1.121699617618561,0.7093615970110486,1.127452403538812,5
peak_beam_load,150,Heuristic,0.683112396477142,0.7098918904422749,0.10665128616014884,0.5551955186829989,0.7916341112774068,0.5107393254695912,0.8120686404455679,5
peak_beam_load,150,MILP,0.9883776103625758,1.0142023702693912,0.15561911760223937,0.8088383547143454,1.1605107478648908,0.7833682086969578,1.2080059411122472,5
peak_beam_load,200,Heuristic,0.698415936447586,0.6629188300844064,0.1854568894686309,0.5056258983771907,0.9111588926477391,0.4356176139465137,0.9899846368710887,5
peak_beam_load,200,MILP,1.2732516734123855,1.4293933168971067,0.3183044919414724,0.8827891096917897,1.581369333226818,0.8519125796534011,1.5951495346099942,5
peak_beam_load,300,Heuristic,0.9703252281259622,0.9752837942041981,0.20342047265920596,0.737044187712828,1.1935962743205886,0.6590507402869882,1.2414668770288673,5
peak_beam_load,300,MILP,1.6738565760475113,1.5812453826038464,0.3075930959973158,1.3722678519499492,2.0283663266729937,1.249685435201541,2.177410462645753,5
peak_beam_load,500,Heuristic,0.9220472099334505,0.9364002049770781,0.21019710026758734,0.708508483879964,1.1261623208979785,0.5817549426604389,1.243927391848925,5
peak_beam_load,500,MILP,1.928452223515692,1.9310669966178096,0.5987866936095351,1.2322134135259792,2.5709112288150067,1.0139095361734285,2.5793254336101987,5
peak_beam_load,1000,Heuristic,1.5385228816177658,1.0983185032165061,1.0285384947004914,0.763562611548649,2.7222844506722668,0.721956484125253,3.518687017234678,5
peak_beam_load,1000,MILP,1.6258575670727766,1.4143034400904484,0.8265781810056678,0.9614943342234301,2.5322635391774853,0.8293809794068285,3.2094395970508787,5
