SENSITIVITY TABLES

====================================================================================================
ONE-FACTOR SUMMARY

                                 tag                    x_name  x_value  n_users  payload_feasible_mean  payload_feasible_std  payload_feasible_min  payload_feasible_max  payload_feasible_n  K_mean     K_std  K_min  K_max  K_n  U_max_mean  U_max_std  U_max_min  U_max_max  U_max_n  ent_edge_pct_mean  ent_edge_pct_std  ent_edge_pct_min  ent_edge_pct_max  ent_edge_pct_n  ms_n_active_mean  ms_n_active_std  ms_n_active_min  ms_n_active_max  ms_n_active_n  payload_n_viol_K_mean  payload_n_viol_K_std  payload_n_viol_K_min  payload_n_viol_K_max  payload_n_viol_K_n  payload_n_viol_T_mean  payload_n_viol_T_std  payload_n_viol_T_min  payload_n_viol_T_max  payload_n_viol_T_n  payload_K_over_sum_mean  payload_K_over_sum_std  payload_K_over_sum_min  payload_K_over_sum_max  payload_K_over_sum_n  payload_T_over_sum_mean  payload_T_over_sum_std  payload_T_over_sum_min  payload_T_over_sum_max  payload_T_over_sum_n  runtime_total_s_mean  runtime_total_s_std  runtime_total_s_min  runtime_total_s_max  runtime_total_s_n
                   one_factor:Ks_max                    Ks_max    256.0      300                    1.0                   0.0                   1.0                   1.0                   5   128.8  4.534314  121.0  135.0    5    0.197585   0.035832   0.156337   0.257404        5          13.653619          4.246027          7.142857         19.512195               5               1.0         0.000000              1.0              1.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             14.854700             0.171291            14.689719            15.175458                  5
                   one_factor:Ks_max                    Ks_max    256.0      400                    1.0                   0.0                   1.0                   1.0                   5   164.8  8.681014  156.0  181.0    5    0.193177   0.058850   0.129888   0.284571        5           9.016963          6.222318          1.785714         20.000000               5               1.0         0.000000              1.0              1.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             14.910830             0.170192            14.652068            15.173344                  5
                   one_factor:Ks_max                    Ks_max    256.0      500                    1.0                   0.0                   1.0                   1.0                   5   186.2  9.173876  176.0  200.0    5    0.215514   0.075840   0.140332   0.360844        5          15.155210          5.813608          8.888889         23.404255               5               1.0         0.000000              1.0              1.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             15.110360             0.195449            14.843927            15.410163                  5
                   one_factor:Ks_max                    Ks_max    256.0      600                    1.0                   0.0                   1.0                   1.0                   5   214.4  6.151423  206.0  224.0    5    0.320401   0.242872   0.174983   0.805205        5          12.300946          3.768428          6.349206         17.021277               5               1.0         0.000000              1.0              1.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             15.224843             0.125206            15.022627            15.383665                  5
                   one_factor:Ks_max                    Ks_max    256.0      700                    1.0                   0.0                   1.0                   1.0                   5   239.4  7.939773  228.0  252.0    5    0.264706   0.088768   0.202669   0.440013        5           7.525228          3.139734          2.985075         11.864407               5               1.0         0.000000              1.0              1.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             14.925423             0.240794            14.512676            15.251285                  5
                   one_factor:Ks_max                    Ks_max    256.0      800                    1.0                   0.0                   1.0                   1.0                   5   263.2 14.524462  253.0  292.0    5    0.382785   0.111127   0.233075   0.546709        5          10.273704          4.551285          4.000000         16.455696               5               1.8         0.400000              1.0              2.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             15.186258             0.146028            15.001192            15.388571                  5
                   one_factor:Ks_max                    Ks_max    256.0      900                    1.0                   0.0                   1.0                   1.0                   5   292.8 22.480214  269.0  322.0    5    0.374580   0.110591   0.209337   0.499997        5           8.564695          2.455629          6.493506         13.333333               5               2.0         0.000000              2.0              2.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             15.152397             0.084256            15.011739            15.255382                  5
                   one_factor:Ks_max                    Ks_max    256.0     1000                    1.0                   0.0                   1.0                   1.0                   5   311.4 17.269627  294.0  336.0    5    0.370751   0.128799   0.270096   0.614746        5           7.998299          2.912901          3.921569         12.500000               5               2.0         0.000000              2.0              2.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             15.421209             0.196804            15.123168            15.654576                  5
                   one_factor:Ks_max                    Ks_max    256.0     1500                    1.0                   0.0                   1.0                   1.0                   5   414.6 28.032838  391.0  458.0    5    0.520952   0.288967   0.276110   1.079518        5           8.083304          1.972736          5.405405          9.937888               5               2.2         0.400000              2.0              3.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             15.754388             0.497486            15.293515            16.695244                  5
                   one_factor:Ks_max                    Ks_max    256.0     2000                    1.0                   0.0                   1.0                   1.0                   5   519.8 22.754340  477.0  545.0    5    0.525617   0.194206   0.315516   0.820343        5           7.757147          2.474036          5.213270         12.440191               5               2.8         0.400000              2.0              3.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             17.989806             1.781606            15.921935            20.921079                  5
                   one_factor:Ks_max                    Ks_max    256.0     2500                    1.0                   0.0                   1.0                   1.0                   5   609.2 29.143781  572.0  646.0    5    0.674371   0.148765   0.429378   0.880673        5           8.884365          1.069554          7.509881         10.266160               5               3.6         0.800000              3.0              5.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             29.057241            14.154607            16.466825            54.454522                  5
                   one_factor:Ks_max                    Ks_max    256.0     3000                    1.0                   0.0                   1.0                   1.0                   5   687.0 21.004761  659.0  710.0    5    0.585545   0.113606   0.388674   0.732293        5           6.916237          2.323061          4.000000         10.967742               5               4.0         0.894427              3.0              5.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             41.146928            15.297844            16.416531            60.385934                  5
                   one_factor:Ks_max                    Ks_max    256.0     3500                    1.0                   0.0                   1.0                   1.0                   5   778.0 41.429458  725.0  834.0    5    0.748502   0.134445   0.567045   0.960880        5           6.285061          1.051386          4.733728          7.803468               5               4.2         0.748331              3.0              5.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             33.357727             5.021434            25.249724            40.121395                  5
                   one_factor:Ks_max                    Ks_max    256.0     4000                    1.0                   0.0                   1.0                   1.0                   5   829.0 38.848423  781.0  884.0    5    0.928268   0.317685   0.509375   1.404617        5           7.141071          1.516691          5.412371          9.898477               5               5.0         0.632456              4.0              6.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             45.227198            11.040610            28.324285            59.469014                  5
                   one_factor:Ks_max                    Ks_max    256.0     4500                    1.0                   0.0                   1.0                   1.0                   5   913.6 51.940735  847.0  982.0    5    1.015761   0.400925   0.415238   1.525183        5           7.486166          0.969204          6.053269          8.726415               5               5.2         0.748331              4.0              6.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             53.522073            21.928292            24.163700            81.276719                  5
                   one_factor:Ks_max                    Ks_max    256.0     5000                    1.0                   0.0                   1.0                   1.0                   5   973.6 44.454921  923.0 1034.0    5    1.089443   0.180714   0.786700   1.259650        5           6.889967          0.845067          5.907173          8.316832               5               6.0         1.095445              4.0              7.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             74.449675            29.974206            22.168177           114.580935                  5
                   one_factor:Ks_max                    Ks_max    312.0      100                    1.0                   0.0                   1.0                   1.0                   5    55.6  3.773592   49.0   59.0    5    0.091644   0.019836   0.074668   0.128796        5          16.489621          8.777725          8.333333         33.333333               5               1.0         0.000000              1.0              1.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             14.902778             0.189666            14.643517            15.134019                  5
                   one_factor:Ks_max                    Ks_max    312.0      200                    1.0                   0.0                   1.0                   1.0                   5    95.4  4.270831   89.0  101.0    5    0.166826   0.054824   0.117717   0.268646        5          10.643939          7.296363          0.000000         18.750000               5               1.0         0.000000              1.0              1.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             14.970570             0.208883            14.721101            15.225827                  5
                   one_factor:Ks_max                    Ks_max    312.0      300                    1.0                   0.0                   1.0                   1.0                   5   128.8  4.534314  121.0  135.0    5    0.197585   0.035832   0.156337   0.257404        5          13.653619          4.246027          7.142857         19.512195               5               1.0         0.000000              1.0              1.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             14.913414             0.278516            14.637636            15.439522                  5
                   one_factor:Ks_max                    Ks_max    312.0      400                    1.0                   0.0                   1.0                   1.0                   5   164.8  8.681014  156.0  181.0    5    0.193177   0.058850   0.129888   0.284571        5           9.016963          6.222318          1.785714         20.000000               5               1.0         0.000000              1.0              1.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             15.133413             0.062239            15.032179            15.215077                  5
                   one_factor:Ks_max                    Ks_max    312.0      500                    1.0                   0.0                   1.0                   1.0                   5   186.2  9.173876  176.0  200.0    5    0.215514   0.075840   0.140332   0.360844        5          15.155210          5.813608          8.888889         23.404255               5               1.0         0.000000              1.0              1.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             14.963155             0.132785            14.738670            15.101716                  5
                   one_factor:Ks_max                    Ks_max    312.0      600                    1.0                   0.0                   1.0                   1.0                   5   214.4  6.151423  206.0  224.0    5    0.320401   0.242872   0.174983   0.805205        5          12.300946          3.768428          6.349206         17.021277               5               1.0         0.000000              1.0              1.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             14.920855             0.197040            14.724863            15.249226                  5
                   one_factor:Ks_max                    Ks_max    312.0      700                    1.0                   0.0                   1.0                   1.0                   5   239.4  7.939773  228.0  252.0    5    0.264706   0.088768   0.202669   0.440013        5           7.525228          3.139734          2.985075         11.864407               5               1.0         0.000000              1.0              1.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             14.927132             0.078892            14.801858            15.009338                  5
                   one_factor:Ks_max                    Ks_max    312.0      800                    1.0                   0.0                   1.0                   1.0                   5   265.4 13.032268  253.0  290.0    5    0.235095   0.033572   0.198705   0.283073        5           8.934295          2.795560          6.172840         13.793103               5               1.0         0.000000              1.0              1.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             15.120315             0.095150            15.029243            15.298323                  5
