ok,tag,x_name,x_value,seed,n_users,theta_3db_deg,Ks_max,beam.theta_3db_deg,payload.Ks_max,payload_feasible,K,U_max,ent_edge_pct,ms_n_active,payload_n_viol_K,payload_n_viol_T,payload_K_over_sum,payload_T_over_sum,runtime_total_s
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.1,Ks=192",2,1500,1.1,192,1.1,192,1,363.0,0.6644553500661223,5.095541401273885,2.0,0.0,0.0,0.0,0.0,16.43321880000076
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.1,Ks=192",1,2000,1.1,192,1.1,192,1,503.0,0.4855683648010474,8.26086956521739,3.0,0.0,0.0,0.0,0.0,17.194633699997212
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.1,Ks=192",2,2000,1.1,192,1.1,192,1,473.0,0.832463450217781,8.947368421052632,4.0,0.0,0.0,0.0,0.0,19.125765699998738
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.1,Ks=256",1,1000,1.1,256,1.1,256,1,318.0,0.3079209705191932,7.766990291262136,2.0,0.0,0.0,0.0,0.0,16.629291500001273
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.1,Ks=256",2,1000,1.1,256,1.1,256,1,271.0,0.5494460564159036,7.339449541284404,2.0,0.0,0.0,0.0,0.0,16.989585099996475
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.1,Ks=256",1,1500,1.1,256,1.1,256,1,418.0,0.5306837235738004,8.823529411764707,2.0,0.0,0.0,0.0,0.0,16.697810999998183
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.1,Ks=256",2,1500,1.1,256,1.1,256,1,363.0,0.6644553500661223,5.095541401273885,2.0,0.0,0.0,0.0,0.0,16.185450199995103
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.1,Ks=256",1,2000,1.1,256,1.1,256,1,503.0,0.4855683648010474,8.26086956521739,3.0,0.0,0.0,0.0,0.0,23.847361800006183
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.1,Ks=256",2,2000,1.1,256,1.1,256,1,432.0,0.3937852836620883,6.842105263157895,2.0,0.0,0.0,0.0,0.0,16.610500200000388
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.1,Ks=320",1,1000,1.1,320,1.1,320,1,292.0,0.259077380981795,11.650485436893204,1.0,0.0,0.0,0.0,0.0,15.924423699998442
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.1,Ks=320",2,1000,1.1,320,1.1,320,1,258.0,0.2521132637206493,12.037037037037036,1.0,0.0,0.0,0.0,0.0,15.624046000000817
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.1,Ks=320",1,1500,1.1,320,1.1,320,1,418.0,0.5306837235738004,8.823529411764707,2.0,0.0,0.0,0.0,0.0,16.902964399996563
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.1,Ks=320",2,1500,1.1,320,1.1,320,1,363.0,0.6644553500661223,5.095541401273885,2.0,0.0,0.0,0.0,0.0,16.590808400000242
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.1,Ks=320",1,2000,1.1,320,1.1,320,1,487.0,0.9019715112103178,8.26086956521739,2.0,0.0,0.0,0.0,0.0,15.897411200003262
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.1,Ks=320",2,2000,1.1,320,1.1,320,1,432.0,0.3937852836620883,6.842105263157895,2.0,0.0,0.0,0.0,0.0,14.775988799996412
