tag,n_users,theta_3db_deg,Ks_max,payload_feasible_mean,payload_feasible_std,payload_feasible_min,payload_feasible_max,payload_feasible_n,K_mean,K_std,K_min,K_max,K_n,U_max_mean,U_max_std,U_max_min,U_max_max,U_max_n,ent_edge_pct_mean,ent_edge_pct_std,ent_edge_pct_min,ent_edge_pct_max,ent_edge_pct_n,ms_n_active_mean,ms_n_active_std,ms_n_active_min,ms_n_active_max,ms_n_active_n,payload_n_viol_K_mean,payload_n_viol_K_std,payload_n_viol_K_min,payload_n_viol_K_max,payload_n_viol_K_n,payload_n_viol_T_mean,payload_n_viol_T_std,payload_n_viol_T_min,payload_n_viol_T_max,payload_n_viol_T_n,payload_K_over_sum_mean,payload_K_over_sum_std,payload_K_over_sum_min,payload_K_over_sum_max,payload_K_over_sum_n,payload_T_over_sum_mean,payload_T_over_sum_std,payload_T_over_sum_min,payload_T_over_sum_max,payload_T_over_sum_n,runtime_total_s_mean,runtime_total_s_std,runtime_total_s_min,runtime_total_s_max,runtime_total_s_n
interaction:theta_x_Ksmax,400,1.0,256,1.0,0.0,1.0,1.0,5,164.8,8.681013765684282,156.0,181.0,5,0.193177221053848,0.0588495288701715,0.12988821169656495,0.28457058087800485,5,9.016963139556207,6.2223180249849515,1.7857142857142858,20.0,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,14.959055040078237,0.1917649890498032,14.787457400234416,15.307653300231323,5
interaction:theta_x_Ksmax,400,1.0,312,1.0,0.0,1.0,1.0,5,164.8,8.681013765684282,156.0,181.0,5,0.193177221053848,0.0588495288701715,0.12988821169656495,0.28457058087800485,5,9.016963139556207,6.2223180249849515,1.7857142857142858,20.0,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,14.968317439919337,0.12191287927641718,14.756697200005874,15.094078799942508,5
interaction:theta_x_Ksmax,400,1.1,128,1.0,0.0,1.0,1.0,5,159.8,11.956588142108098,148.0,179.0,5,0.2721823021272055,0.1504182633673192,0.1708223224232778,0.5680849841990598,5,8.96489005218145,1.9223188534796065,5.2631578947368425,10.714285714285714,5,2.0,0.0,2.0,2.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,15.225024039996788,0.313171501067189,14.740755900274962,15.637904400005937,5
interaction:theta_x_Ksmax,400,1.1,256,1.0,0.0,1.0,1.0,5,154.6,7.445804187594514,147.0,168.0,5,0.19493182013492422,0.05023899242422119,0.14498902550700046,0.2874561283578849,5,6.835144957738025,3.135695280270568,1.7857142857142858,10.526315789473685,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,14.986611560033634,0.17190420197599673,14.71038300008513,15.190014199819416,5
interaction:theta_x_Ksmax,400,1.1,312,1.0,0.0,1.0,1.0,5,154.6,7.445804187594514,147.0,168.0,5,0.19493182013492422,0.05023899242422119,0.14498902550700046,0.2874561283578849,5,6.835144957738025,3.135695280270568,1.7857142857142858,10.526315789473685,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,15.019701719935984,0.23803896232228963,14.55066220019944,15.212351699825376,5
interaction:theta_x_Ksmax,500,0.9,128,1.0,0.0,1.0,1.0,5,207.4,16.75231327309754,193.0,237.0,5,0.1922164083540488,0.019147576070316006,0.1656839498485643,0.21318835993906754,5,12.579554043839758,4.5886584809687045,7.407407407407407,18.367346938775512,5,2.2,0.39999999999999997,2.0,3.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,17.863319540116937,1.0956107856649908,16.42324350005947,19.198099799919873,5
interaction:theta_x_Ksmax,500,0.9,256,1.0,0.0,1.0,1.0,5,195.2,9.495261976375376,180.0,205.0,5,0.18547488541104662,0.039674699743834516,0.14344566822280927,0.24277222608417237,5,12.368567012184034,5.356725227294747,5.555555555555555,21.27659574468085,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,15.01120931985788,0.13975840405678808,14.912331199739128,15.28716619987972,5
interaction:theta_x_Ksmax,500,0.9,312,1.0,0.0,1.0,1.0,5,195.2,9.495261976375376,180.0,205.0,5,0.18547488541104662,0.039674699743834516,0.14344566822280927,0.24277222608417237,5,12.368567012184034,5.356725227294747,5.555555555555555,21.27659574468085,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,14.862333360034972,0.0990143028758117,14.743649800075218,15.011057799914852,5
interaction:theta_x_Ksmax,500,1.0,128,1.0,0.0,1.0,1.0,5,194.0,11.696153213770756,182.0,211.0,5,0.19003371796079072,0.03785829676714184,0.153260161389529,0.26183900342494376,5,8.520408163265305,2.807673819311364,5.357142857142857,12.244897959183673,5,2.0,0.0,2.0,2.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,15.077771319961176,0.17395822248563556,14.853393800090998,15.286951699992642,5
interaction:theta_x_Ksmax,500,1.0,256,1.0,0.0,1.0,1.0,5,186.2,9.173875952943773,176.0,200.0,5,0.21551445119221507,0.07583968816704194,0.14033207679245413,0.3608441916887033,5,15.155210038188761,5.813608497149208,8.88888888888889,23.404255319148938,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,15.140919300029054,0.19468406328055377,14.89087380003184,15.410130700096488,5
