WALKER SIZE STUDY TABLES

Aggregation note:
- payload_feasible is best interpreted through mean
- continuous metrics are best interpreted through median and p10/p90
- by-time summary aggregates over seeds at each fixed snapshot time
- over-time summary aggregates over all runs across all fixed snapshot times and seeds

======================================================================================================================================================
INTERACTION SUMMARY BY TIME

snapshot_time_utc_iso  total_sats  n_planes  sats_per_plane  n_users  payload_feasible_mean  K_median  best_m_median  U_mean_median  U_max_median  ent_edge_pct_median  runtime_total_s_median  payload_T_over_sum_median
 2026-01-01T06:00:00Z         192         8              24     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  78.252757
 2026-01-01T06:00:00Z         192         8              24     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 127.245682
 2026-01-01T06:00:00Z         192        12              16     1000                    0.2     216.0            5.0       0.294483      3.217534             8.860759               13.191506                   4.184737
 2026-01-01T06:00:00Z         192        12              16     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  73.261922
 2026-01-01T06:00:00Z         192        12              16     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 115.287047
 2026-01-01T12:00:00Z          72         6              12     1000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                   4.502321
 2026-01-01T12:00:00Z          72         6              12     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  43.583648
 2026-01-01T12:00:00Z          72         6              12     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  78.413598
 2026-01-01T12:00:00Z          72         8               9     1000                    1.0      15.0            1.0       0.105670      0.335280            10.714286                0.029860                   0.000000
 2026-01-01T12:00:00Z          72         8               9     2000                    0.6      23.0            1.0       0.112127      0.409999             0.000000                0.045884                   0.000000
 2026-01-01T12:00:00Z          72         8               9     3000                    0.6      25.0            1.0       0.125561      0.331487            33.333333                0.064542                   0.000000
 2026-01-01T12:00:00Z          72        12               6     1000                    0.0       NaN            2.0            NaN           NaN                  NaN                     NaN                  21.123313
 2026-01-01T12:00:00Z          72        12               6     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  68.203288
 2026-01-01T12:00:00Z          72        12               6     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 119.690712
 2026-01-01T12:00:00Z          96         6              16     1000                    0.6      90.5            3.0       0.378700      2.171416             7.993730                0.325953                   0.000000
 2026-01-01T12:00:00Z          96         6              16     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  39.904430
 2026-01-01T12:00:00Z          96         6              16     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  85.476260
 2026-01-01T12:00:00Z          96         8              12     1000                    0.2     162.0            3.0       0.219392      1.146530            10.869565                0.331155                  14.180358
 2026-01-01T12:00:00Z          96         8              12     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  43.583648
 2026-01-01T12:00:00Z          96         8              12     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  78.413598
 2026-01-01T12:00:00Z          96        12               8     1000                    0.0       NaN            3.0            NaN           NaN                  NaN                     NaN                   9.949350
 2026-01-01T12:00:00Z          96        12               8     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 104.210019
 2026-01-01T12:00:00Z          96        12               8     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 164.466111
 2026-01-01T12:00:00Z         120         6              20     1000                    0.0       NaN            3.0            NaN           NaN                  NaN                     NaN                  12.280135
 2026-01-01T12:00:00Z         120         6              20     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  98.804146
 2026-01-01T12:00:00Z         120         6              20     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 159.957050
 2026-01-01T12:00:00Z         120         8              15     1000                    0.2     149.0            3.0       0.263731      1.575746            12.500000                0.591804                   6.744850
 2026-01-01T12:00:00Z         120         8              15     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  73.652613
 2026-01-01T12:00:00Z         120         8              15     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 122.863924
 2026-01-01T12:00:00Z         120        12              10     1000                    0.0       NaN            3.0            NaN           NaN                  NaN                     NaN                   9.285076
 2026-01-01T12:00:00Z         120        12              10     2000                    0.0       NaN            2.0            NaN           NaN                  NaN                     NaN                  65.752956
 2026-01-01T12:00:00Z         120        12              10     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 121.737484
 2026-01-01T12:00:00Z         144         6              24     1000                    0.0       NaN            4.0            NaN           NaN                  NaN                     NaN                  20.623765
 2026-01-01T12:00:00Z         144         6              24     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 104.210019
