ok,seed,n_users,total_sats,n_planes,sats_per_plane,snapshot_time_utc_iso,payload_feasible,K,U_mean,U_max,ent_edge_pct,best_m,ms_n_active,payload_n_viol_K,payload_n_viol_T,payload_K_over_sum,payload_T_over_sum,runtime_total_s
1,1,2000,120,12,10,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,1.0,1.0,149.0,66.21647087257081,
1,2,2000,120,12,10,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,130.0,50.02116001938845,
1,3,2000,120,12,10,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,227.0,66.7876915317734,
1,4,2000,120,12,10,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,134.0,60.58539513090777,
1,5,2000,120,12,10,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,202.0,76.44921959170742,
1,1,3000,120,12,10,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,1.0,1.0,196.0,110.45410233152467,
1,2,3000,120,12,10,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,233.0,82.49402600639385,
1,3,3000,120,12,10,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,298.0,114.26069050104184,
1,4,3000,120,12,10,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,182.0,95.60468942537179,
1,5,3000,120,12,10,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,264.0,110.18826695930582,
1,1,1000,144,6,24,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,2.0,1.0,22.0,2.5626881218479767,
1,2,1000,144,6,24,2026-01-01T00:00:00Z,0,,,,,4.0,4.0,1.0,0.0,8.0,0.0,
1,3,1000,144,6,24,2026-01-01T00:00:00Z,0,,,,,4.0,4.0,1.0,1.0,10.0,0.020747265461665165,
1,4,1000,144,6,24,2026-01-01T00:00:00Z,0,,,,,4.0,4.0,1.0,1.0,12.0,4.226708925950099,
1,5,1000,144,6,24,2026-01-01T00:00:00Z,0,,,,,4.0,4.0,1.0,1.0,17.0,2.628869962177795,
1,1,2000,144,6,24,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,247.0,67.84184030073678,
1,2,2000,144,6,24,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,196.0,93.19992956183353,
1,3,2000,144,6,24,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,249.0,84.44193843603247,
1,4,2000,144,6,24,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,179.0,65.20525110535351,
1,5,2000,144,6,24,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,229.0,87.41802983410611,
1,1,3000,144,6,24,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,341.0,113.07370064190826,
1,2,3000,144,6,24,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,302.0,152.19971504532683,
1,3,3000,144,6,24,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,341.0,144.03533440332055,
1,4,3000,144,6,24,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,246.0,101.40806148190133,
1,5,3000,144,6,24,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,300.0,131.7304471822839,
1,1,1000,144,8,18,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,0.0,1.0,0.0,0.22618785599885882,
1,2,1000,144,8,18,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,0.0,2.0,0.0,5.038264548212137,
1,3,1000,144,8,18,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,0.0,1.0,0.0,3.738221461722322,
1,4,1000,144,8,18,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,1.0,2.0,28.0,12.611970907152845,
1,5,1000,144,8,18,2026-01-01T00:00:00Z,0,,,,,2.0,2.0,0.0,1.0,0.0,2.1382706823409805,
1,1,2000,144,8,18,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,93.0,33.80327268029423,
1,2,2000,144,8,18,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,93.0,45.229659430818515,
1,3,2000,144,8,18,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,44.0,36.6500318148355,
1,4,2000,144,8,18,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,129.0,64.92884091183777,
1,5,2000,144,8,18,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,50.0,32.024063069370165,
1,1,3000,144,8,18,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,167.0,64.02420839189155,
1,2,3000,144,8,18,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,142.0,80.40170199597924,
1,3,3000,144,8,18,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,97.0,72.63506330474446,
1,4,3000,144,8,18,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,187.0,113.1765627123284,
1,5,3000,144,8,18,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,107.0,68.00600907738524,
1,1,1000,144,12,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,30.0,3.999424480163249,
1,2,1000,144,12,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,18.0,11.387586576256957,
1,3,1000,144,12,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,0.0,1.0,0.0,4.710019001297422,
1,4,1000,144,12,12,2026-01-01T00:00:00Z,0,,,,,2.0,2.0,1.0,1.0,38.0,13.508928052489345,
1,5,1000,144,12,12,2026-01-01T00:00:00Z,1,146.0,0.29806361371834317,3.09130585345964,3.9215686274509802,2.0,2.0,0.0,0.0,0.0,0.0,0.2521454999987327
1,1,2000,144,12,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,93.0,33.80327268029423,
1,2,2000,144,12,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,93.0,45.229659430818515,
1,3,2000,144,12,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,44.0,36.6500318148355,
1,4,2000,144,12,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,129.0,64.92884091183777,
1,5,2000,144,12,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,50.0,32.024063069370165,
1,1,3000,144,12,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,167.0,64.02420839189155,
1,2,3000,144,12,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,142.0,80.40170199597924,
1,3,3000,144,12,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,97.0,72.63506330474446,
1,4,3000,144,12,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,187.0,113.1765627123284,
1,5,3000,144,12,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,107.0,68.00600907738524,
1,1,1000,168,6,28,2026-01-01T00:00:00Z,0,,,,,4.0,4.0,1.0,1.0,73.0,0.900899269530413,
1,2,1000,168,6,28,2026-01-01T00:00:00Z,0,,,,,4.0,4.0,1.0,0.0,51.0,0.0,
1,3,1000,168,6,28,2026-01-01T00:00:00Z,0,,,,,5.0,5.0,1.0,1.0,38.0,17.518719910744252,
1,4,1000,168,6,28,2026-01-01T00:00:00Z,1,265.0,0.286035144619847,1.6093777171230959,3.5714285714285716,4.0,4.0,0.0,0.0,0.0,0.0,3.8487656000033894
1,5,1000,168,6,28,2026-01-01T00:00:00Z,0,,,,,5.0,5.0,1.0,1.0,14.0,17.424168815082858,
1,1,2000,168,6,28,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,376.0,98.18510093707283,
1,2,2000,168,6,28,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,349.0,101.83854260313376,
1,3,2000,168,6,28,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,361.0,101.49562238037322,
1,4,2000,168,6,28,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,358.0,108.50851533769054,
1,5,2000,168,6,28,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,352.0,113.80210762980789,
1,1,3000,168,6,28,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,531.0,163.0906447454375,
1,2,3000,168,6,28,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,461.0,163.51271346830376,
1,3,3000,168,6,28,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,491.0,167.6208574187399,
1,4,3000,168,6,28,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,488.0,166.73749396327918,
1,5,3000,168,6,28,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,497.0,175.49022124727043,
1,1,1000,168,8,21,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,213.0,37.38366827309501,
1,2,1000,168,8,21,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,186.0,38.35654889234137,
1,3,1000,168,8,21,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,186.0,36.754014332536556,
1,4,1000,168,8,21,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,196.0,40.48268395633312,
1,5,1000,168,8,21,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,180.0,44.023184512013245,
1,1,2000,168,8,21,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,376.0,98.18510093707283,
1,2,2000,168,8,21,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,349.0,101.83854260313376,
1,3,2000,168,8,21,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,361.0,101.49562238037322,
1,4,2000,168,8,21,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,358.0,108.50851533769054,
1,5,2000,168,8,21,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,352.0,113.80210762980789,
1,1,3000,168,8,21,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,531.0,163.0906447454375,
1,2,3000,168,8,21,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,461.0,163.51271346830376,
1,3,3000,168,8,21,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,491.0,167.6208574187399,
1,4,3000,168,8,21,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,488.0,166.73749396327918,
